Forest_Remnant_ID,Patch_Size_ha,Isolation_Index,Dominant_Vegetation_Type,Presence_Absence_Key_Predator,Year_of_Survey
F01,15.2,'0,75',Deciduous,0,2020
F02,5.8,'1,2',Coniferous,1,2020
F03,22.1,'0,5',Mixed,0,2020
F04,8.9,'1,5',Deciduous,0,2020
F05,1.5,'2,8',Coniferous,1,2020
F06,18.7,'0,6',Mixed,0,2020
F07,12.3,'0,9',Deciduous,0,2020
F08,3.2,'2,1',Coniferous,1,2020
F09,25,'0,4',Mixed,0,2020
F10,6.5,'1,3',Deciduous,0,2020
F11,10.1,1,Coniferous,0,2020
F12,1,3,Deciduous,1,2020
F13,30.5,'0,3',Mixed,0,2020
F14,4.7,'1,8',Deciduous,1,2020
F15,16.8,'0,7',Coniferous,0,2020
F16,7.2,'1,4',Mixed,0,2020
F17,2.5,'2,5',Deciduous,1,2020
F18,20,'0,55',Coniferous,0,2020
F19,9.5,'1,1',Mixed,0,2020
F20,0.8,'3,5',Deciduous,1,2020
F01,15.2,'0,78',Deciduous,0,2021
F02,5.8,'1,25',Coniferous,1,2021
F03,22.1,'0,52',Mixed,0,2021
F04,8.9,'1,55',Deciduous,0,2021
F05,1.5,'2,9',Coniferous,1,2021
F06,18.7,'0,63',Mixed,0,2021
F07,12.3,'0,92',Deciduous,0,2021
F08,3.2,'2,15',Coniferous,1,2021
F09,25,'0,42',Mixed,0,2021
F10,6.5,'1,33',Deciduous,0,2021
F11,10.1,'1,05',Coniferous,0,2021
F12,1,'3,1',Deciduous,1,2021
F13,30.5,'0,33',Mixed,0,2021
F14,4.7,'1,85',Deciduous,1,2021
F15,16.8,'0,72',Coniferous,0,2021
F16,7.2,'1,45',Mixed,0,2021
F17,2.5,'2,6',Deciduous,1,2021
F18,20,'0,58',Coniferous,0,2021
F19,9.5,'1,12',Mixed,0,2021
F20,0.8,'3,6',Deciduous,1,2021
F01,15.2,'0,8',Deciduous,0,2022
F02,5.8,'1,3',Coniferous,1,2022
F03,22.1,'0,55',Mixed,0,2022
F04,8.9,'1,6',Deciduous,0,2022
F05,1.5,3,Coniferous,1,2022
F06,18.7,'0,65',Mixed,0,2022
F07,12.3,'0,95',Deciduous,0,2022
F08,3.2,'2,2',Coniferous,1,2022
F09,25,'0,45',Mixed,0,2022
F10,6.5,'1,35',Deciduous,0,2022
F11,10.1,'1,1',Coniferous,0,2022
F12,1,'3,2',Deciduous,1,2022
F13,30.5,'0,35',Mixed,0,2022
F14,4.7,'1,9',Deciduous,1,2022
F15,16.8,'0,75',Coniferous,0,2022
F16,7.2,'1,5',Mixed,0,2022
F17,2.5,'2,7',Deciduous,1,2022
F18,20,'0,6',Coniferous,0,2022
F19,9.5,'1,15',Mixed,0,2022
F20,0.8,'3,7',Deciduous,1,2022
F01,15.2,'0,82',Deciduous,0,2023
F02,5.8,'1,33',Coniferous,1,2023
F03,22.1,'0,57',Mixed,0,2023
F04,8.9,'1,63',Deciduous,0,2023
F05,1.5,'3,1',Coniferous,1,2023
F06,18.7,'0,68',Mixed,0,2023
F07,12.3,'0,98',Deciduous,0,2023
F08,3.2,'2,25',Coniferous,1,2023
F09,25,'0,48',Mixed,0,2023
F10,6.5,'1,38',Deciduous,0,2023
F11,10.1,'1,13',Coniferous,0,2023
F12,1,'3,3',Deciduous,1,2023
F13,30.5,'0,38',Mixed,0,2023
F14,4.7,'1,95',Deciduous,1,2023
F15,16.8,'0,78',Coniferous,0,2023
F16,7.2,'1,55',Mixed,0,2023
F17,2.5,'2,8',Deciduous,1,2023
F18,20,'0,63',Coniferous,0,2023
F19,9.5,'1,18',Mixed,0,2023
F20,0.8,'3,8',Deciduous,1,2023
F01,15.2,'0,85',Deciduous,0,2024
F02,5.8,'1,35',Coniferous,1,2024
F03,22.1,'0,6',Mixed,0,2024
F04,8.9,'1,65',Deciduous,0,2024
F05,1.5,'3,2',Coniferous,1,2024
F06,18.7,'0,7',Mixed,0,2024
F07,12.3,1,Deciduous,0,2024
F08,3.2,'2,3',Coniferous,1,2024
F09,25,'0,5',Mixed,0,2024
F10,6.5,'1,4',Deciduous,0,2024
F11,10.1,'1,15',Coniferous,0,2024
F12,1,'3,4',Deciduous,1,2024
F13,30.5,'0,4',Mixed,0,2024
F14,4.7,2,Deciduous,1,2024
F15,16.8,'0,8',Coniferous,0,2024
F16,7.2,'1,6',Mixed,0,2024
F17,2.5,'2,9',Deciduous,1,2024
F18,20,'0,65',Coniferous,0,2024
F19,9.5,'1,2',Mixed,0,2024
F20,0.8,'3,9',Deciduous,1,2024
