"id_buffer","diversidade_shannon","perc_floresta","densidade_borda_m_ha"
1,0.862217683275549,11.3708820403826,36.7911883368308
2,1.20198578950586,18.7103594080338,30.5564944615721
3,0.690454531083154,78.1682641107561,41.5229892789734
4,0.195638770628401,95.5602536997886,16.3441714561898
5,1.09262729643708,58.9989350372737,73.381144846461
6,0.981502738838676,35.6104651162791,26.3816245787343
7,0.0639544178858266,98.9417989417989,4.979576875219
8,0.0688881404869743,98.9373007438895,4.28635203924209
9,1.08470940322175,62.4733475479744,43.0006105429375
10,1.3711719633204,21.2992545260916,61.5685703102117
11,0.071899735994172,98.6413043478261,5.93692759239643
12,1.36081318472571,17.590618336887,51.959071072702
13,0.080127146080994,98.6228813559322,4.27273015776206
14,0.265901121173245,94.5802337938363,13.9306441275399
15,0.989533914708366,63.6847710330138,59.4208294854285
